,particles,n,iterations,totalTime,totalInitTime,totalFitnessTime,totalUpdateTime,fitnessPerParticle,updatePerParticle
0,5,10,100,1.6002111434936523,0.0,0.0,0.001,0.0,0.0
1,10,10,100,0.3377797603607178,0.0,0.001,0.001,0.0,0.0
2,20,10,100,0.328387975692749,0.0,0.001,0.001,0.0,0.0
3,50,10,100,0.3435332775115967,0.001,0.001,0.001,0.0,0.0
4,100,10,100,0.36185383796691895,0.002,0.001,0.002,0.0,0.0
5,200,10,100,0.35324835777282715,0.002,0.001,0.002,0.0,0.0
6,500,10,100,0.3813159465789795,0.004,0.001,0.002,0.0,0.0
7,1000,10,100,0.4308929443359375,0.014,0.001,0.002,0.0,0.0
8,5,20,100,0.35529184341430664,0.0,0.001,0.001,0.0,0.0
9,10,20,100,0.3570389747619629,0.0,0.001,0.001,0.0,0.0
10,20,20,100,0.3462085723876953,0.0,0.001,0.001,0.0,0.0
11,50,20,100,0.34842658042907715,0.0,0.001,0.001,0.0,0.0
12,100,20,100,0.364884614944458,0.001,0.001,0.002,0.0,0.0
13,200,20,100,0.3724081516265869,0.003,0.001,0.001,0.0,0.0
14,500,20,100,0.49429965019226074,0.108,0.001,0.001,0.0,0.0
15,1000,20,100,0.45636463165283203,0.014,0.001,0.002,0.0,0.0
16,5,50,100,0.4319934844970703,0.0,0.002,0.001,0.0,0.0
17,10,50,100,0.4387784004211426,0.0,0.002,0.001,0.0,0.0
18,20,50,100,0.4362659454345703,0.0,0.002,0.001,0.0,0.0
19,50,50,100,0.43762826919555664,0.001,0.002,0.001,0.0,0.0
20,100,50,100,0.44745492935180664,0.002,0.002,0.001,0.0,0.0
21,200,50,100,0.4301154613494873,0.003,0.002,0.001,0.0,0.0
22,500,50,100,0.4672684669494629,0.004,0.002,0.001,0.0,0.0
23,1000,50,100,0.4968132972717285,0.013,0.002,0.001,0.0,0.0
24,5,100,100,0.5013856887817383,0.0,0.003,0.001,0.001,0.0
25,10,100,100,0.4611198902130127,0.0,0.002,0.001,0.0,0.0
26,20,100,100,0.4459249973297119,0.0,0.002,0.001,0.0,0.0
27,50,100,100,0.43462061882019043,0.0,0.002,0.001,0.0,0.0
28,100,100,100,0.4483189582824707,0.001,0.002,0.001,0.0,0.0
29,200,100,100,0.4572713375091553,0.003,0.002,0.001,0.0,0.0
30,500,100,100,0.4684262275695801,0.008,0.002,0.001,0.0,0.0
31,1000,100,100,0.5156035423278809,0.014,0.002,0.002,0.0,0.0
32,5,200,100,0.5674574375152588,0.0,0.003,0.001,0.001,0.0
33,10,200,100,0.5101456642150879,0.0,0.002,0.001,0.0,0.0
34,20,200,100,0.516958475112915,0.001,0.002,0.001,0.0,0.0
35,50,200,100,0.5256507396697998,0.001,0.002,0.001,0.0,0.0
36,100,200,100,0.5441069602966309,0.002,0.002,0.001,0.0,0.0
37,200,200,100,0.5442473888397217,0.004,0.002,0.001,0.0,0.0
38,500,200,100,0.5757646560668945,0.005,0.002,0.002,0.0,0.0
39,1000,200,100,0.627124547958374,0.009,0.003,0.002,0.0,0.0
40,5,500,100,0.8245210647583008,0.002,0.005,0.001,0.001,0.0
41,10,500,100,0.8328502178192139,0.0,0.005,0.001,0.001,0.0
42,20,500,100,0.8372411727905273,0.001,0.005,0.001,0.0,0.0
43,50,500,100,0.8344480991363525,0.001,0.005,0.001,0.0,0.0
44,100,500,100,0.847944974899292,0.001,0.005,0.001,0.0,0.0
45,200,500,100,0.8588006496429443,0.003,0.005,0.001,0.0,0.0
46,500,500,100,0.8860206604003906,0.007,0.005,0.002,0.0,0.0
47,1000,500,100,0.9259967803955078,0.01,0.005,0.002,0.0,0.0
48,5,1000,100,1.3293397426605225,0.001,0.009,0.001,0.002,0.0
49,10,1000,100,1.3532915115356445,0.001,0.009,0.001,0.001,0.0
50,20,1000,100,1.356590747833252,0.001,0.009,0.001,0.0,0.0
51,50,1000,100,1.3695359230041504,0.001,0.009,0.001,0.0,0.0
52,100,1000,100,1.4627342224121094,0.002,0.009,0.001,0.0,0.0
53,200,1000,100,1.3664474487304688,0.003,0.009,0.001,0.0,0.0
54,500,1000,100,1.370391845703125,0.006,0.009,0.001,0.0,0.0
55,1000,1000,100,1.4427075386047363,0.014,0.01,0.002,0.0,0.0
