,particles,n,iterations,totalTime,totalInitTime,totalFitnessTime,totalUpdateTime,fitnessPerParticle,updatePerParticle
0,5,10,100,1.6620604991912842,0.0,0.015,0.0,0.003,0.0
1,10,10,100,3.2175936698913574,0.0,0.031,0.0,0.003,0.0
2,20,10,100,6.2682044506073,0.0,0.061,0.0,0.003,0.0
3,50,10,100,15.393426179885864,0.001,0.152,0.001,0.003,0.0
4,100,10,100,30.91931986808777,0.001,0.305,0.002,0.003,0.0
5,5,20,100,1.6736853122711182,0.0,0.015,0.0,0.003,0.0
6,10,20,100,3.2568359375,0.0,0.031,0.0,0.003,0.0
7,20,20,100,6.222109317779541,0.0,0.061,0.0,0.003,0.0
8,50,20,100,15.305918455123901,0.0,0.151,0.001,0.003,0.0
9,100,20,100,30.66022229194641,0.001,0.303,0.002,0.003,0.0
10,5,50,100,1.6562707424163818,0.0,0.015,0.0,0.003,0.0
11,10,50,100,3.187080144882202,0.0,0.03,0.0,0.003,0.0
12,20,50,100,6.224377632141113,0.0,0.061,0.0,0.003,0.0
13,50,50,100,15.389834642410278,0.0,0.152,0.001,0.003,0.0
14,100,50,100,30.93908977508545,0.001,0.306,0.002,0.003,0.0
15,5,100,100,1.6704952716827393,0.0,0.015,0.0,0.003,0.0
16,10,100,100,3.201888084411621,0.0,0.031,0.0,0.003,0.0
17,20,100,100,6.192186117172241,0.0,0.06,0.0,0.003,0.0
18,50,100,100,15.517016172409058,0.001,0.153,0.001,0.003,0.0
19,100,100,100,30.755026817321777,0.001,0.304,0.002,0.003,0.0
20,5,200,100,1.6493055820465088,0.0,0.015,0.0,0.003,0.0
21,10,200,100,3.1581225395202637,0.0,0.03,0.0,0.003,0.0
22,20,200,100,6.218160390853882,0.0,0.061,0.0,0.003,0.0
23,50,200,100,15.615283250808716,0.0,0.154,0.001,0.003,0.0
24,100,200,100,29.5080828666687,0.001,0.292,0.002,0.003,0.0
25,5,500,100,1.627605676651001,0.0,0.015,0.0,0.003,0.0
26,10,500,100,3.0205981731414795,0.0,0.029,0.0,0.003,0.0
27,20,500,100,5.945162534713745,0.0,0.058,0.0,0.003,0.0
28,50,500,100,15.151325941085815,0.0,0.149,0.001,0.003,0.0
29,100,500,100,30.11833953857422,0.001,0.297,0.002,0.003,0.0
