,particles,n,iterations,totalTime,totalInitTime,totalFitnessTime,totalUpdateTime,fitnessPerParticle,updatePerParticle
0,5,10,100,1.1658086776733398,0.0,0.004,0.004,0.001,0.001
1,10,10,100,0.4156768321990967,0.0,0.002,0.001,0.0,0.0
2,20,10,100,0.42090296745300293,0.0,0.002,0.001,0.0,0.0
3,50,10,100,0.4316747188568115,0.001,0.002,0.001,0.0,0.0
4,100,10,100,0.42587900161743164,0.002,0.002,0.001,0.0,0.0
5,200,10,100,0.4288668632507324,0.003,0.002,0.001,0.0,0.0
6,500,10,100,0.4699385166168213,0.007,0.002,0.001,0.0,0.0
7,1000,10,100,0.5043039321899414,0.009,0.002,0.002,0.0,0.0
8,5,20,100,0.41283559799194336,0.0,0.002,0.001,0.0,0.0
9,10,20,100,0.4262073040008545,0.0,0.002,0.001,0.0,0.0
10,20,20,100,0.4198472499847412,0.0,0.002,0.001,0.0,0.0
11,50,20,100,0.4131655693054199,0.001,0.002,0.001,0.0,0.0
12,100,20,100,0.43625712394714355,0.001,0.002,0.001,0.0,0.0
13,200,20,100,0.4411900043487549,0.002,0.002,0.001,0.0,0.0
14,500,20,100,0.46497201919555664,0.008,0.002,0.001,0.0,0.0
15,1000,20,100,0.5108091831207275,0.015,0.002,0.002,0.0,0.0
16,5,50,100,0.41538214683532715,0.0,0.002,0.001,0.0,0.0
17,10,50,100,0.4214937686920166,0.0,0.002,0.001,0.0,0.0
18,20,50,100,0.41869401931762695,0.0,0.002,0.001,0.0,0.0
19,50,50,100,0.43029022216796875,0.001,0.002,0.001,0.0,0.0
20,100,50,100,0.42684173583984375,0.002,0.002,0.001,0.0,0.0
21,200,50,100,0.45720362663269043,0.003,0.002,0.002,0.0,0.0
22,500,50,100,0.4735846519470215,0.008,0.002,0.001,0.0,0.0
23,1000,50,100,0.5228006839752197,0.015,0.002,0.002,0.0,0.0
24,5,100,100,0.5248398780822754,0.0,0.002,0.001,0.0,0.0
25,10,100,100,0.42278575897216797,0.0,0.002,0.001,0.0,0.0
26,20,100,100,0.4168589115142822,0.0,0.002,0.001,0.0,0.0
27,50,100,100,0.4295203685760498,0.001,0.002,0.001,0.0,0.0
28,100,100,100,0.4324016571044922,0.002,0.002,0.001,0.0,0.0
29,200,100,100,0.4443385601043701,0.002,0.002,0.001,0.0,0.0
30,500,100,100,0.4688122272491455,0.004,0.002,0.001,0.0,0.0
31,1000,100,100,0.5193278789520264,0.017,0.002,0.002,0.0,0.0
32,5,200,100,0.41791772842407227,0.0,0.002,0.001,0.0,0.0
33,10,200,100,0.41683125495910645,0.0,0.002,0.001,0.0,0.0
34,20,200,100,0.43033814430236816,0.0,0.002,0.001,0.0,0.0
35,50,200,100,0.42198705673217773,0.001,0.002,0.001,0.0,0.0
36,100,200,100,0.4297466278076172,0.002,0.002,0.001,0.0,0.0
37,200,200,100,0.44310498237609863,0.003,0.002,0.001,0.0,0.0
38,500,200,100,0.4722423553466797,0.007,0.002,0.001,0.0,0.0
39,1000,200,100,0.5106766223907471,0.016,0.002,0.001,0.0,0.0
40,5,500,100,0.40891075134277344,0.0,0.001,0.001,0.0,0.0
41,10,500,100,0.4208252429962158,0.0,0.002,0.001,0.0,0.0
42,20,500,100,0.4213860034942627,0.0,0.002,0.001,0.0,0.0
43,50,500,100,0.42000555992126465,0.001,0.002,0.001,0.0,0.0
44,100,500,100,0.4345357418060303,0.002,0.002,0.001,0.0,0.0
45,200,500,100,0.43535804748535156,0.003,0.002,0.001,0.0,0.0
46,500,500,100,0.4730849266052246,0.004,0.002,0.001,0.0,0.0
47,1000,500,100,0.5932302474975586,0.114,0.002,0.001,0.0,0.0
48,5,1000,100,0.42290186882019043,0.0,0.002,0.001,0.0,0.0
49,10,1000,100,0.4119873046875,0.0,0.002,0.001,0.0,0.0
50,20,1000,100,0.4180622100830078,0.0,0.002,0.001,0.0,0.0
51,50,1000,100,0.4233407974243164,0.0,0.002,0.001,0.0,0.0
52,100,1000,100,0.4303395748138428,0.001,0.002,0.001,0.0,0.0
53,200,1000,100,0.4505302906036377,0.003,0.002,0.001,0.0,0.0
54,500,1000,100,0.4814729690551758,0.008,0.002,0.002,0.0,0.0
55,1000,1000,100,0.5062174797058105,0.015,0.002,0.001,0.0,0.0
