,particles,n,iterations,totalTime,totalInitTime,totalFitnessTime,totalUpdateTime,fitnessPerParticle,updatePerParticle
0,5,10,100,0.44004011154174805,0.0,0.002,0.001,0.0,0.0
1,10,10,100,0.43810081481933594,0.0,0.002,0.001,0.0,0.0
2,20,10,100,0.4434230327606201,0.0,0.002,0.001,0.0,0.0
3,50,10,100,0.5641372203826904,0.001,0.002,0.001,0.0,0.0
4,100,10,100,0.44921088218688965,0.002,0.002,0.001,0.0,0.0
5,200,10,100,0.4581904411315918,0.002,0.002,0.001,0.0,0.0
6,500,10,100,0.5048906803131104,0.005,0.002,0.002,0.0,0.0
7,1000,10,100,0.5302817821502686,0.016,0.002,0.002,0.0,0.0
8,5,20,100,0.4463067054748535,0.0,0.002,0.001,0.0,0.0
9,10,20,100,0.43091678619384766,0.0,0.002,0.001,0.0,0.0
10,20,20,100,0.4422132968902588,0.0,0.002,0.001,0.0,0.0
11,50,20,100,0.4473559856414795,0.0,0.002,0.001,0.0,0.0
12,100,20,100,0.4474918842315674,0.002,0.002,0.001,0.0,0.0
13,200,20,100,0.4498097896575928,0.003,0.002,0.001,0.0,0.0
14,500,20,100,0.509742259979248,0.01,0.002,0.001,0.0,0.0
15,1000,20,100,0.5346810817718506,0.016,0.002,0.002,0.0,0.0
16,5,50,100,0.44027161598205566,0.0,0.002,0.001,0.0,0.0
17,10,50,100,0.4487278461456299,0.0,0.002,0.001,0.0,0.0
18,20,50,100,0.4463503360748291,0.0,0.002,0.001,0.0,0.0
19,50,50,100,0.4541966915130615,0.001,0.002,0.001,0.0,0.0
20,100,50,100,0.4456043243408203,0.002,0.002,0.001,0.0,0.0
21,200,50,100,0.45891451835632324,0.003,0.002,0.001,0.0,0.0
22,500,50,100,0.4908616542816162,0.004,0.002,0.002,0.0,0.0
23,1000,50,100,0.5447230339050293,0.017,0.002,0.002,0.0,0.0
24,5,100,100,0.4459960460662842,0.0,0.002,0.001,0.0,0.0
25,10,100,100,0.44257330894470215,0.0,0.002,0.001,0.0,0.0
26,20,100,100,0.45574021339416504,0.0,0.002,0.001,0.0,0.0
27,50,100,100,0.5604062080383301,0.001,0.002,0.001,0.0,0.0
28,100,100,100,0.44934701919555664,0.001,0.002,0.001,0.0,0.0
29,200,100,100,0.45984959602355957,0.003,0.002,0.001,0.0,0.0
30,500,100,100,0.4927847385406494,0.009,0.002,0.002,0.0,0.0
31,1000,100,100,0.5346779823303223,0.017,0.002,0.002,0.0,0.0
32,5,200,100,0.44815945625305176,0.0,0.002,0.001,0.0,0.0
33,10,200,100,0.4506409168243408,0.0,0.002,0.001,0.0,0.0
34,20,200,100,0.444960355758667,0.0,0.002,0.001,0.0,0.0
35,50,200,100,0.4518742561340332,0.001,0.002,0.001,0.0,0.0
36,100,200,100,0.45435023307800293,0.002,0.002,0.001,0.0,0.0
37,200,200,100,0.4664459228515625,0.003,0.002,0.001,0.0,0.0
38,500,200,100,0.49405980110168457,0.005,0.002,0.002,0.0,0.0
39,1000,200,100,0.5452618598937988,0.009,0.002,0.002,0.0,0.0
40,5,500,100,0.4398181438446045,0.0,0.002,0.001,0.0,0.0
41,10,500,100,0.4367227554321289,0.0,0.002,0.001,0.0,0.0
42,20,500,100,0.43738865852355957,0.0,0.002,0.001,0.0,0.0
43,50,500,100,0.45413899421691895,0.001,0.002,0.001,0.0,0.0
44,100,500,100,0.45021796226501465,0.001,0.002,0.001,0.0,0.0
45,200,500,100,0.4722423553466797,0.003,0.002,0.002,0.0,0.0
46,500,500,100,0.4937431812286377,0.008,0.002,0.002,0.0,0.0
47,1000,500,100,0.5468385219573975,0.017,0.002,0.002,0.0,0.0
48,5,1000,100,0.4354848861694336,0.0,0.002,0.001,0.0,0.0
49,10,1000,100,0.45090723037719727,0.0,0.002,0.001,0.0,0.0
50,20,1000,100,0.45188188552856445,0.0,0.002,0.001,0.0,0.0
51,50,1000,100,0.5626647472381592,0.001,0.002,0.001,0.0,0.0
52,100,1000,100,0.45842671394348145,0.002,0.002,0.001,0.0,0.0
53,200,1000,100,0.46281886100769043,0.003,0.002,0.001,0.0,0.0
54,500,1000,100,0.49364757537841797,0.009,0.002,0.001,0.0,0.0
55,1000,1000,100,0.5409095287322998,0.009,0.002,0.002,0.0,0.0
