,particles,n,iterations,totalTime,totalInitTime,totalFitnessTime,totalUpdateTime,fitnessPerParticle,updatePerParticle
0,5,10,100,0.25298333168029785,0.0,0.001,0.0,0.0,0.0
1,10,10,100,0.24804282188415527,0.0,0.001,0.001,0.0,0.0
2,20,10,100,0.2736663818359375,0.0,0.001,0.001,0.0,0.0
3,50,10,100,0.3567228317260742,0.0,0.001,0.001,0.0,0.0
4,100,10,100,0.47551465034484863,0.001,0.001,0.003,0.0,0.0
5,200,10,100,0.7036111354827881,0.002,0.001,0.005,0.0,0.0
6,500,10,100,1.3569326400756836,0.004,0.001,0.011,0.0,0.0
7,1000,10,100,2.4891674518585205,0.012,0.001,0.023,0.0,0.0
8,5,20,100,0.26680803298950195,0.0,0.001,0.0,0.0,0.0
9,10,20,100,0.279970645904541,0.0,0.001,0.001,0.0,0.0
10,20,20,100,0.305436372756958,0.0,0.001,0.001,0.0,0.0
11,50,20,100,0.3832695484161377,0.0,0.001,0.001,0.0,0.0
12,100,20,100,0.47855162620544434,0.002,0.001,0.003,0.0,0.0
13,200,20,100,0.7153873443603516,0.002,0.001,0.005,0.0,0.0
14,500,20,100,1.4723553657531738,0.115,0.001,0.011,0.0,0.0
15,1000,20,100,2.5176846981048584,0.013,0.001,0.023,0.0,0.0
16,5,50,100,0.3389139175415039,0.0,0.002,0.0,0.0,0.0
17,10,50,100,0.35314416885375977,0.0,0.002,0.001,0.0,0.0
18,20,50,100,0.3596615791320801,0.0,0.002,0.001,0.0,0.0
19,50,50,100,0.4271864891052246,0.0,0.002,0.001,0.0,0.0
20,100,50,100,0.5533416271209717,0.001,0.002,0.003,0.0,0.0
21,200,50,100,0.78033447265625,0.002,0.002,0.005,0.0,0.0
22,500,50,100,1.4859395027160645,0.004,0.002,0.012,0.0,0.0
23,1000,50,100,2.587812662124634,0.012,0.002,0.022,0.0,0.0
24,5,100,100,0.45417356491088867,0.0,0.003,0.0,0.001,0.0
25,10,100,100,0.3800358772277832,0.0,0.002,0.001,0.0,0.0
26,20,100,100,0.38930654525756836,0.0,0.002,0.001,0.0,0.0
27,50,100,100,0.45064544677734375,0.001,0.002,0.001,0.0,0.0
28,100,100,100,0.5607657432556152,0.001,0.002,0.003,0.0,0.0
29,200,100,100,0.7882030010223389,0.003,0.002,0.005,0.0,0.0
30,500,100,100,1.606004238128662,0.004,0.003,0.012,0.0,0.0
31,1000,100,100,2.79034423828125,0.008,0.004,0.023,0.0,0.0
32,5,200,100,0.5982208251953125,0.0,0.004,0.0,0.001,0.0
33,10,200,100,0.45482850074768066,0.0,0.002,0.001,0.0,0.0
34,20,200,100,0.4761545658111572,0.001,0.002,0.001,0.0,0.0
35,50,200,100,0.5568830966949463,0.001,0.002,0.001,0.0,0.0
36,100,200,100,0.6782467365264893,0.001,0.003,0.003,0.0,0.0
37,200,200,100,0.8808279037475586,0.002,0.003,0.005,0.0,0.0
38,500,200,100,1.764143705368042,0.005,0.004,0.012,0.0,0.0
39,1000,200,100,3.0772438049316406,0.01,0.006,0.023,0.0,0.0
40,5,500,100,0.9470233917236328,0.001,0.007,0.0,0.001,0.0
41,10,500,100,0.7945311069488525,0.001,0.005,0.001,0.001,0.0
42,20,500,100,0.8226966857910156,0.0,0.005,0.001,0.0,0.0
43,50,500,100,0.9035286903381348,0.001,0.005,0.001,0.0,0.0
44,100,500,100,1.0349113941192627,0.001,0.005,0.003,0.0,0.0
45,200,500,100,1.2538461685180664,0.004,0.005,0.005,0.0,0.0
46,500,500,100,1.945530891418457,0.005,0.006,0.012,0.0,0.0
47,1000,500,100,3.511573076248169,0.01,0.01,0.023,0.0,0.0
48,5,1000,100,1.474740743637085,0.001,0.011,0.0,0.002,0.0
49,10,1000,100,1.3430519104003906,0.001,0.01,0.001,0.001,0.0
50,20,1000,100,1.3860855102539062,0.001,0.01,0.001,0.001,0.0
51,50,1000,100,1.4623448848724365,0.001,0.01,0.001,0.0,0.0
52,100,1000,100,1.5823571681976318,0.001,0.01,0.002,0.0,0.0
53,200,1000,100,1.7884583473205566,0.002,0.01,0.005,0.0,0.0
54,500,1000,100,2.4398601055145264,0.005,0.01,0.011,0.0,0.0
55,1000,1000,100,3.7968344688415527,0.01,0.012,0.022,0.0,0.0
