,particles,n,iterations,totalTime,totalInitTime,totalFitnessTime,totalUpdateTime,fitnessPerParticle,updatePerParticle
0,5,10,100,0.32969164848327637,0.0,0.002,0.001,0.0,0.0
1,10,10,100,0.31467151641845703,0.0,0.002,0.001,0.0,0.0
2,20,10,100,0.32396960258483887,0.0,0.002,0.001,0.0,0.0
3,50,10,100,0.32100582122802734,0.0,0.002,0.001,0.0,0.0
4,100,10,100,0.3224985599517822,0.001,0.002,0.001,0.0,0.0
5,200,10,100,0.34693002700805664,0.002,0.002,0.001,0.0,0.0
6,500,10,100,0.3771655559539795,0.005,0.002,0.002,0.0,0.0
7,1000,10,100,0.411452054977417,0.01,0.002,0.002,0.0,0.0
8,5,20,100,0.3179631233215332,0.0,0.002,0.001,0.0,0.0
9,10,20,100,0.32656025886535645,0.0,0.002,0.001,0.0,0.0
10,20,20,100,0.31917500495910645,0.0,0.002,0.001,0.0,0.0
11,50,20,100,0.33121514320373535,0.0,0.002,0.001,0.0,0.0
12,100,20,100,0.33350467681884766,0.001,0.002,0.001,0.0,0.0
13,200,20,100,0.3404276371002197,0.002,0.002,0.001,0.0,0.0
14,500,20,100,0.3780834674835205,0.005,0.002,0.002,0.0,0.0
15,1000,20,100,0.4203155040740967,0.009,0.002,0.002,0.0,0.0
16,5,50,100,0.320054292678833,0.0,0.002,0.001,0.0,0.0
17,10,50,100,0.32243919372558594,0.0,0.002,0.001,0.0,0.0
18,20,50,100,0.31966471672058105,0.0,0.002,0.001,0.0,0.0
19,50,50,100,0.3326845169067383,0.0,0.002,0.001,0.0,0.0
20,100,50,100,0.3352229595184326,0.001,0.002,0.001,0.0,0.0
21,200,50,100,0.3381826877593994,0.002,0.002,0.001,0.0,0.0
22,500,50,100,0.3674635887145996,0.004,0.002,0.001,0.0,0.0
23,1000,50,100,0.4190523624420166,0.009,0.002,0.002,0.0,0.0
24,5,100,100,0.3173506259918213,0.0,0.002,0.001,0.0,0.0
25,10,100,100,0.3226041793823242,0.0,0.002,0.001,0.0,0.0
26,20,100,100,0.319166898727417,0.0,0.002,0.001,0.0,0.0
27,50,100,100,0.31937646865844727,0.0,0.002,0.001,0.0,0.0
28,100,100,100,0.32631945610046387,0.001,0.002,0.001,0.0,0.0
29,200,100,100,0.3402109146118164,0.002,0.002,0.001,0.0,0.0
30,500,100,100,0.3703420162200928,0.005,0.002,0.002,0.0,0.0
31,1000,100,100,0.4106013774871826,0.01,0.002,0.002,0.0,0.0
32,5,200,100,0.31310391426086426,0.0,0.002,0.001,0.0,0.0
33,10,200,100,0.3111262321472168,0.0,0.002,0.001,0.0,0.0
34,20,200,100,0.31869029998779297,0.0,0.002,0.001,0.0,0.0
35,50,200,100,0.31988000869750977,0.001,0.002,0.001,0.0,0.0
36,100,200,100,0.32352709770202637,0.001,0.002,0.001,0.0,0.0
37,200,200,100,0.33753156661987305,0.002,0.002,0.001,0.0,0.0
38,500,200,100,0.3615081310272217,0.004,0.002,0.001,0.0,0.0
39,1000,200,100,0.40914344787597656,0.01,0.002,0.002,0.0,0.0
40,5,500,100,0.32120347023010254,0.0,0.002,0.001,0.0,0.0
41,10,500,100,0.3226187229156494,0.0,0.002,0.001,0.0,0.0
42,20,500,100,0.3268399238586426,0.0,0.002,0.001,0.0,0.0
43,50,500,100,0.3265235424041748,0.0,0.002,0.001,0.0,0.0
44,100,500,100,0.33185839653015137,0.001,0.002,0.001,0.0,0.0
45,200,500,100,0.3385038375854492,0.002,0.002,0.001,0.0,0.0
46,500,500,100,0.3702845573425293,0.004,0.002,0.002,0.0,0.0
47,1000,500,100,0.41318392753601074,0.009,0.002,0.002,0.0,0.0
48,5,1000,100,0.31481289863586426,0.0,0.002,0.001,0.0,0.0
49,10,1000,100,0.3158698081970215,0.0,0.002,0.001,0.0,0.0
50,20,1000,100,0.32296299934387207,0.0,0.002,0.001,0.0,0.0
51,50,1000,100,0.32466626167297363,0.0,0.002,0.001,0.0,0.0
52,100,1000,100,0.32523012161254883,0.001,0.002,0.001,0.0,0.0
53,200,1000,100,0.3365952968597412,0.002,0.002,0.001,0.0,0.0
54,500,1000,100,0.36138391494750977,0.004,0.002,0.001,0.0,0.0
55,1000,1000,100,0.414623498916626,0.009,0.002,0.002,0.0,0.0
